Employee_No,Employee_Code,Name,Title,Gender,Religion_ID,Marital_Status,Designation_ID,Date_Joined,Date_Resigned,Status,Inactive_Date,Reporting_emp_1,Reporting_emp_2,Employment_Category,Employment_Type,Religion,Designation,Year_of_Birth
426,50028,Thea Gaylord,Mr,Male,1,Married,58,7/3/2020,10/26/2021,Inactive,10/26/2021,\N,\N,Staff,Contarct Basis,Buddhist,Sociologist,1962
427,2680,Laron Turcotte,Ms,Female,1,Married,48,9/15/2016,0000-00-00,Active,0000-00-00,\N,\N,Staff,Contarct Basis,Buddhist,Draughtsman,1980
431,2750,Miss Ashley Spinka IV,Mr,Male,1,Married,62,1/1/2019,\N,Active,\N,\N,\N,Labour,Contarct Basis,Buddhist,S/Skill,1947
433,2765,Prof Damaris Kemmer DDS,Mr,Male,1,Married,63,11/1/2016,9/27/2022,Inactive,9/27/2022,\N,\N,Staff,Contarct Basis,Buddhist,Junior Quantity Surveyor,1993
434,2774,Corene Weber DDS,Mr,Male,1,Married,64,11/28/2016,6/30/2021,Inactive,6/30/2021,\N,\N,Staff,Contarct Basis,Buddhist,Safety Officer,1972
435,2807,Madisyn Raynor,Mr,Male,1,Single,22,12/15/2016,\N,Active,\N,1834,\N,Staff,Contarct Basis,Buddhist,Technical Officer,1988
436,2811,Prof Bridgette Gerlach DVM,Mr,Male,3,Married,27,12/15/2016,0000-00-00,Active,0000-00-00,\N,\N,Staff,Contarct Basis,Hindu,Supervisor,1981
437,2812,Prof Elian Roberts MD,Mr,Male,1,Married,8,12/19/2016,12/22/2021,Inactive,12/22/2021,\N,\N,Staff,Contarct Basis,Buddhist,Quantity Surveyor,1991
438,2845,Giovanna Turner,Mr,Male,1,Single,59,1/16/2017,0000-00-00,Active,0000-00-00,\N,\N,Staff,Contarct Basis,Buddhist,Autocad Draughtsman ,1991
440,2850,Ricky Hintz,Mr,Male,1,Single,113,1/10/2017,\N,Active,\N,\N,\N,Staff,Contarct Basis,Buddhist,Operation Executive,1981
443,2911,Jaunita Senger,Miss,Female,1,Single,59,1/30/2017,8/20/2021,Inactive,8/20/2021,\N,\N,Staff,Contarct Basis,Buddhist,Autocad Draughtsman ,1989
444,2913,Buddy Kunze,Mr,Male,1,Married,6,2/16/2017,\N,Inactive,10/31/2020,\N,\N,Staff,Contarct Basis,Buddhist,Project Manager,1966
446,2936,Lavon Stokes,Mr,Male,1,Married,31,1/1/2019,5/31/2021,Inactive,5/31/2021,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1955
448,2938,Prof Bridget Johnson II,Mr,Male,1,Married,31,1/1/2019,12/10/2020,Inactive,12/10/2020,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1966
450,188003,Mrs Eliza O'Kon I,Mr,Male,1,Married,31,12/3/2020,4/9/2021,Inactive,4/9/2021,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1976
451,2954,Ms Evelyn Farrell IV,Mr,Male,1,Single,22,3/1/2017,\N,Inactive,2/29/2020,\N,\N,Management,Contarct Basis,Buddhist,Technical Officer,1985
453,2973,Miss Amaya Bogisich III,Mr,Male,1,Married,7,3/23/2017,\N,Active,\N,\N,\N,Staff,Contarct Basis,Buddhist,Store Keeper,1961
455,2975,Madisyn Huel,Mr,Male,3,Single,49,3/27/2017,2/19/2022,Inactive,2/19/2022,1333,\N,Staff,Contarct Basis,Hindu,Junior Technical Officer,'0000'
456,2984,Aurelie Green,Mr,Male,1,Married,30,1/1/2019,0000-00-00,Inactive,3/31/2020,\N,\N,Labour,Contarct Basis,Buddhist,Semi Skilled Labor,'0000'
457,4994,Saul Marquardt,Mr,Male,1,Married,31,6/1/2020,\N,Inactive,9/25/2020,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1967
460,199020,Monica Wunsch,Mr,Male,1,Married,30,3/1/2020,0000-00-00,Inactive,3/31/2020,\N,\N,Labour,Contarct Basis,Buddhist,Semi Skilled Labor,1955
461,3009,Miss Chelsie Heidenreich,Mr,Male,1,Married,1,1/1/2019,0000-00-00,Inactive,6/1/2021,\N,\N,Labour,Contarct Basis,Buddhist,Skilled Labor,'0000'
466,3037,Geovanny Gaylord,Mr,Male,1,Married,31,1/1/2019,5/31/2022,Inactive,5/31/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1976
468,3041,Johnny Price,Mr,Male,3,Married,31,1/1/2019,\N,Active,\N,\N,\N,Labour,Contarct Basis,Hindu,Unskilled Labor,'0000'
471,5270,Miss Naomie Swaniawski II,Mr,Male,1,Single,1,4/1/2021,2/28/2022,Inactive,2/28/2022,\N,\N,Labour,Contarct Basis,Buddhist,Skilled Labor,1992
475,3178,Mr Roel Monahan V,Mr,Male,1,Married,31,1/1/2019,11/28/2020,Inactive,11/28/2020,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1959
476,3193,Amanda Keebler,Mr,Male,5,Married,22,4/3/2017,11/27/2021,Inactive,11/27/2021,\N,\N,Staff,Contarct Basis,Muslim,Technical Officer,1985
478,3216,Anne Abbott III,Ms,Female,1,Married,70,5/15/2017,0000-00-00,Inactive,8/30/2020,\N,\N,Staff,Contarct Basis,Buddhist,Data Entry Operator,1992
480,3222,Alfred Turner,Mr,Male,3,,69,7/6/2017,0000-00-00,Inactive,4/3/2020,\N,\N,Staff,Contarct Basis,Hindu,Site Supervisor,1989
481,3223,Lawrence Hane,Ms,Female,1,Single,59,6/5/2017,\N,Active,\N,\N,\N,Staff,Contarct Basis,Buddhist,Autocad Draughtsman ,1984
482,3229,Kenyatta Rempel,Mr,Male,1,Married,22,6/19/2017,5/23/2021,Inactive,5/23/2021,2709,\N,Staff,Contarct Basis,Buddhist,Technical Officer,1986
486,5169,Prof Avery Volkman,Mr,Male,1,Married,1,2/1/2021,5/4/2022,Inactive,5/4/2022,\N,\N,Labour,Contarct Basis,Buddhist,Skilled Labor,'0000'
487,3256,Kathleen Denesik,Mr,Male,1,Married,124,1/1/2019,0000-00-00,Active,0000-00-00,\N,\N,Labour,Contarct Basis,Buddhist,Mason,1992
490,3295,Dr Nat Adams,Mr,Male,3,Single,31,1/1/2019,0000-00-00,Inactive,12/31/2020,\N,\N,Labour,Contarct Basis,Hindu,Unskilled Labor,1995
495,3335,Ludwig Stamm,Mr,Male,1,Married,29,1/1/2019,\N,Active,\N,\N,\N,Labour,Contarct Basis,Buddhist,Cook,1957
496,3351,Emie Conroy,Mr,Male,1,Married,22,7/1/2017,0000-00-00,Active,0000-00-00,2709,\N,Staff,Contarct Basis,Buddhist,Technical Officer,1988
501,190015,Piper Dooley,Mr,Male,1,Married,31,12/7/2020,10/31/2021,Inactive,10/31/2021,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1958
504,3440,Miss Greta Langosh,Mr,Male,3,Married,31,1/1/2019,3/2/2021,Inactive,3/2/2021,\N,\N,Labour,Contarct Basis,Hindu,Unskilled Labor,1991
505,3451,Gertrude Leannon,Mr,Male,1,Married,37,8/28/2017,6/30/2021,Inactive,6/30/2021,\N,\N,Staff,Contarct Basis,Buddhist,Driver-Tractor,1959
508,3533,Dr Bernice Feil,Mr,Male,1,,24,9/9/2017,0000-00-00,Inactive,5/30/2020,\N,\N,Staff,Contarct Basis,Buddhist,Driver,'0000'
509,3536,Ewell Koch,Ms,Female,3,Married,8,9/15/2017,\N,Inactive,3/13/2020,\N,\N,Staff,Contarct Basis,Hindu,Quantity Surveyor,1993
510,3537,Cristobal Wilkinson,Mr,Male,3,Single,8,9/15/2017,2/10/2022,Inactive,2/10/2022,\N,\N,Staff,Contarct Basis,Hindu,Quantity Surveyor,1991
512,3545,Mason Ryan,Mr,Male,1,Single,24,10/2/2017,0000-00-00,Inactive,6/12/2020,\N,\N,Staff,Contarct Basis,Buddhist,Driver,1994
514,3553,Shea Terry MD,Ms,Female,1,Single,65,11/1/2017,1/18/2021,Inactive,1/25/2021,\N,\N,Staff,Contarct Basis,Buddhist,Design Engineer,1994
515,3621,Virginia Stokes,Mr,Male,1,Single,8,12/22/2017,\N,Inactive,10/21/2020,\N,\N,Staff,Contarct Basis,Buddhist,Quantity Surveyor,1992
516,3632,Dante Ledner,Mr,Male,1,Single,72,1/15/2018,\N,Active,\N,\N,\N,Staff,Contarct Basis,Buddhist,IT Executive,1990
517,3633,Mrs Betty West Sr,Ms,Female,1,Single,8,1/15/2018,\N,Active,\N,\N,\N,Staff,Contarct Basis,Buddhist,Quantity Surveyor,1993
520,3665,Willa Kunde,Mr,Male,1,Married,1,1/1/2019,0000-00-00,Inactive,6/30/2020,\N,\N,Labour,Contarct Basis,Buddhist,Skilled Labor,'0000'
521,3679,Dr Jaden Conn,Mr,Male,1,Married,1,1/1/2019,11/30/2020,Inactive,11/30/2020,\N,\N,Labour,Contarct Basis,Buddhist,Skilled Labor,'0000'
523,3702,Hallie Parker,Ms,Female,1,Married,31,1/1/2019,0000-00-00,Active,0000-00-00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1970
532,5043,Andreanne Roberts,Mr,Male,1,Married,1,1/9/2019,0000-00-00,Inactive,12/31/2020,\N,\N,Labour,Contarct Basis,Buddhist,Skilled Labor,1994
534,3809,Tania Bode,Mr,Male,3,Single,31,1/1/2019,1/12/2022,Inactive,1/12/2022,\N,\N,Labour,Contarct Basis,Hindu,Unskilled Labor,1997
536,3826,Prof Paris Homenick,Mr,Male,5,Single,69,2/16/2018,0000-00-00,Inactive,2/28/2021,\N,\N,Staff,Contarct Basis,Muslim,Site Supervisor,1997
537,3830,Hope Ward,Mr,Male,1,,107,2/22/2018,\N,Active,\N,1333,\N,Staff,Contarct Basis,Buddhist,Social Environment Officer,1991
538,3877,Mr Bartholome Hintz,Mr,Male,5,Single,27,4/18/2018,\N,Inactive,8/11/2020,\N,\N,Staff,Contarct Basis,Muslim,Supervisor,1994
539,3879,Mr Archibald Abshire,Mr,Male,1,Single,43,4/20/2018,0000-00-00,Inactive,5/31/2020,\N,\N,Staff,Contarct Basis,Buddhist,Operator - JCB,1993
540,4888,Leilani Nikolaus,Ms,Female,1,Single,88,10/2/2019,0000-00-00,Inactive,6/30/2020,\N,\N,Staff,Contarct Basis,Buddhist,Trainee QS,1995
541,4901,Carmen Dickinson,Miss,Female,1,Single,111,10/22/2019,\N,Inactive,8/31/2020,\N,\N,Staff,Contarct Basis,Buddhist,Management Trainee,1994
545,4686,Brenden Hartmann IV,Mr,Male,1,Single,89,4/22/2019,0000-00-00,Active,0000-00-00,\N,\N,Staff,Contarct Basis,Buddhist,Planning Engineer,1990
546,4759,Terrence Lehner,Mr,Male,1,Married,97,6/6/2019,\N,Inactive,6/19/2020,\N,\N,Management,Contarct Basis,Buddhist,Foreman,1978
549,199055,Darius Zulauf,Mr,Male,1,Single,101,12/5/2020,5/31/2021,Inactive,5/31/2021,\N,\N,Staff,Contarct Basis,Buddhist,Excavator Operator,2001
550,4882,Dr Adrien Beahan,Mr,Male,1,Married,24,9/1/2019,12/31/2022,Inactive,12/27/2022,\N,\N,Staff,Contarct Basis,Buddhist,Driver,1973
551,4889,Ilene Goyette,Mr,Female,1,Single,175,10/14/2019,0000-00-00,Active,0000-00-00,\N,\N,Staff,Contarct Basis,Buddhist,Store Supervisor,1984
553,4902,Odessa Crist Sr,Mr,Male,1,Single,17,10/25/2019,0000-00-00,Inactive,3/10/2020,\N,\N,Staff,Contarct Basis,Buddhist,Account Executive,1996
554,4132,Prof Jacynthe Kulas,Mr,Male,1,Single,78,7/19/2018,\N,Inactive,7/17/2020,\N,\N,Staff,Contarct Basis,Buddhist,Assistant Accountant,1992
556,4353,Mr Scottie Streich,Mr,Male,1,Married,193,11/1/2018,7/20/2022,Inactive,7/20/2022,\N,\N,Management,Contarct Basis,Buddhist,Manager Finance & Operations,'0000'
557,4352,Myles Monahan MD,Mr,Male,1,Married,127,11/1/2018,0000-00-00,Active,0000-00-00,\N,\N,Management,Contarct Basis,Buddhist,Chief Operating Officer,1972
558,4354,Miss Clotilde Braun III,Mr,Male,1,Married,110,11/1/2018,0000-00-00,Active,0000-00-00,\N,\N,Management,Contarct Basis,Buddhist,Chief Executive Officer,'0000'
560,4426,Quinn Hansen,Mr,Male,1,Single,79,12/18/2018,0000-00-00,Inactive,8/31/2020,\N,\N,Staff,Contarct Basis,Buddhist,Helper - Lorry,1995
561,4429,Audrey Tromp,Ms,Female,1,Married,84,1/21/2019,\N,Inactive,12/4/2020,\N,\N,Staff,Contarct Basis,Buddhist,HR Executive,1992
562,4639,Javon Zulauf,Mr,Male,1,Single,88,3/11/2019,12/5/2020,Inactive,12/5/2020,\N,\N,Staff,Contarct Basis,Buddhist,Trainee QS,1998
563,4641,Miss Alta Sipes MD,Mr,Male,1,Single,88,3/11/2019,0000-00-00,Inactive,6/10/2020,\N,\N,Staff,Contarct Basis,Buddhist,Trainee QS,1997
565,4713,Dr Lynn Gleason III,Mr,Male,1,Single,113,5/15/2019,9/18/2021,Inactive,9/18/2021,\N,\N,Staff,Contarct Basis,Buddhist,Operation Executive,1995
569,4728,Alek Moore,Mr,Male,1,Married,45,6/3/2019,9/20/2021,Inactive,9/20/2021,569,\N,Management,Contarct Basis,Buddhist,Construction Manager,1966
570,4769,Dr Donny Ryan III,Mr,Male,4,Single,98,6/12/2019,0000-00-00,Inactive,10/28/2020,\N,\N,Staff,Contarct Basis,Catholic,Store Executive,1985
572,4824,Dr Dennis Bosco,Ms,Female,1,Married,84,8/5/2019,2/28/2021,Inactive,2/28/2021,\N,\N,Staff,Contarct Basis,Buddhist,HR Executive,1990
573,4835,Manuel Bechtelar,Mr,Male,1,Single,24,9/5/2019,5/31/2021,Inactive,5/31/2021,\N,\N,Staff,Contarct Basis,Buddhist,Driver,1992
574,4913,Dr Torey Gibson,Ms,Female,1,Married,104,11/1/2019,\N,Inactive,6/12/2020,\N,\N,Staff,Contarct Basis,Buddhist,Accountant,1983
576,5017,Maiya Bernier,Ms,Female,1,Single,143,8/1/2020,0000-00-00,Inactive,12/12/2020,\N,\N,Staff,Contarct Basis,Buddhist,HR Assistant,1999
582,71,Miss Burdette Kunze DDS,Mr,Male,1,Married,22,7/12/1999,0000-00-00,Active,0000-00-00,624,\N,Staff,Permanant,Buddhist,Technical Officer,1965
583,159,Willa Bruen Jr,Mr,Male,1,Married,7,9/29/2003,0000-00-00,Active,0000-00-00,\N,\N,Staff,Permanant,Buddhist,Store Keeper,1981
584,4836,Prof Johanna Bednar,Mr,Male,1,Married,36,8/10/2019,\N,Active,\N,2631,\N,Staff,Contarct Basis,Buddhist,Engineer Assistant,1988
585,4837,Mr Erin Marquardt II,Mr,Male,1,Married,8,8/5/2019,0000-00-00,Inactive,8/15/2020,\N,\N,Staff,Contarct Basis,Buddhist,Quantity Surveyor,1990
586,4841,Mariam Carter DVM,Mr,Male,1,Married,22,8/1/2019,\N,Inactive,6/13/2020,\N,\N,Staff,Contarct Basis,Buddhist,Technical Officer,'0000'
589,4845,Alison Graham,Mr,Male,1,Married,36,8/1/2019,0000-00-00,Inactive,11/19/2020,\N,\N,Staff,Contarct Basis,Buddhist,Engineer Assistant,1961
590,4846,Haleigh McCullough,Mr,Male,5,Single,22,8/1/2019,0000-00-00,Inactive,12/31/2019,\N,\N,Staff,Contarct Basis,Muslim,Technical Officer,'0000'
591,4847,Kelsi Effertz,Mr,Male,1,,22,8/1/2019,0000-00-00,Inactive,12/14/2019,\N,\N,Staff,Contarct Basis,Buddhist,Technical Officer,1995
592,4848,Prof Cleta Hackett Jr,Mr,Male,1,,22,8/15/2019,0000-00-00,Inactive,1/31/2020,\N,\N,Staff,Contarct Basis,Buddhist,Technical Officer,1991
594,4853,Sophie Turner,Mr,Male,1,Single,22,8/2/2019,0000-00-00,Inactive,12/7/2019,\N,\N,Staff,Contarct Basis,Buddhist,Technical Officer,1992
595,4854,Joaquin Wisozk,Mr,Male,1,Married,27,8/1/2019,\N,Inactive,11/30/2019,\N,\N,Staff,Contarct Basis,Buddhist,Supervisor,1993
596,4855,Deontae Zemlak,Mr,Male,1,Single,22,8/22/2019,\N,Active,\N,1964,\N,Staff,Contarct Basis,Buddhist,Technical Officer,1991
597,4932,Jeanie McLaughlin,Ms,Female,1,Single,157,12/1/2019,\N,Active,\N,\N,\N,Staff,Contarct Basis,Buddhist,Business Analyst,1988
599,4941,Donnell Walsh,Mr,Male,1,Married,22,1/13/2020,\N,Inactive,6/24/2020,\N,\N,Staff,Contarct Basis,Buddhist,Technical Officer,1961
601,4943,Luna Harris DDS,Mr,Female,1,Single,48,1/27/2020,11/26/2021,Inactive,11/30/2021,1538,\N,Staff,Contarct Basis,Buddhist,Draughtsman,1996
603,4938,Prof Delores Barrows,Mr,Male,3,Single,22,1/6/2020,0000-00-00,Inactive,1/31/2020,\N,\N,Staff,Contarct Basis,Hindu,Technical Officer,1993
604,4939,Prof Torey DuBuque,Mr,Male,1,Married,33,1/13/2020,7/30/2021,Inactive,7/30/2021,1333,\N,Staff,Contarct Basis,Buddhist,Site Engineer,1981
605,4927,Stella Aufderhar,Mr,Male,1,Married,6,12/2/2019,0000-00-00,Inactive,9/18/2020,605,\N,Staff,Contarct Basis,Buddhist,Project Manager,1984
606,4929,Prof Kameron Murphy Sr,Mr,Male,1,Married,7,12/4/2019,0000-00-00,Active,0000-00-00,\N,\N,Staff,Contarct Basis,Buddhist,Store Keeper,1996
607,4930,Alessandra Hermann,Ms,Female,1,Single,89,12/4/2019,5/3/2021,Inactive,5/3/2021,\N,\N,Staff,Contarct Basis,Buddhist,Planning Engineer,1993
608,4931,Stone Hyatt I,Mr,Male,3,Single,22,12/10/2019,3/14/2021,Inactive,2/14/2021,\N,\N,Staff,Contarct Basis,Hindu,Technical Officer,1994
609,4933,Ms Wilma Lowe,Ms,Female,1,Married,84,12/26/2019,\N,Inactive,7/31/2020,\N,\N,Staff,Contarct Basis,Buddhist,HR Executive,1986
610,4934,Dr Sigmund Bartell,Mr,Male,3,Married,9,12/30/2019,9/12/2022,Inactive,9/12/2022,\N,\N,Staff,Contarct Basis,Hindu,Assistance QS,1995
